 uniqueID,fam_id,fam_id 2,Income-to-needs,sub_id,Sex,Inequality Grp,Income Grp,Final Grp,Household Income,Valence Pre,Arousal Pre,Valence Post,Arousal Post,Age,CT Mean Income,Gini CT,Voice Rating,Formant Position,Formant Dispersion,Fundamental Frequency,N1,N2,N3,N4,N5,N6,Neuroticism,E1,E2,E3,E4,E5,E6,Extroversion,O1,O2,O3,O4,O5,O6,Openness,A1,A2,A3,A4,A5,A6,Agreeableness,C1,C2,C3,C4,C5,C6,Conscientiousness
FAM1388_491194,FAM1388,FAM1388,0.225557126,491194,0,high,low,LI-HII,less than 15000,4,1,4,1,160,58815,0.434503108,,-0.516720575,1220.022629,215.9885604,10,16,15,21,12,19,93,18,16,15,16,22,18,105,5,26,12,17,17,16,93,16,13,16,16,23,13,97,17,16,13,11,20,12,89
FAM1388_381087,FAM1388,FAM1388,0.225557126,381087,0,high,low,LI-HII,less than 15000,4,1,4,1,182,58815,0.434503108,0.958333333,-1.73746701,1213.869736,150.8914942,12,11,23,14,21,19,100,16,20,17,25,19,13,110,18,16,20,19,17,17,107,12,11,21,16,18,12,90,18,13,20,19,14,12,96
FAM1508_568262,FAM1508,FAM1508,0.225557126,568262,1,high,low,LI-HII,less than 15000,3,1,3,2,155,49461,0.441056601,0.305555556,1.481658704,1350.016226,238.4904435,12,13,20,19,20,17,101,14,11,22,13,17,18,95,12,17,24,16,21,17,107,18,15,17,12,11,23,96,15,16,12,16,16,14,89
FAM1508_311704,FAM1508,FAM1508,0.225557126,311704,0,high,low,LI-HII,less than 15000,5,3,2,1,208,49461,0.441056601,,-1.940811926,1200.054035,133.5753284,17,14,8,13,16,1,69,32,26,24,30,30,28,170,20,14,28,12,17,18,109,31,28,31,16,8,26,140,25,18,31,24,32,12,142
FAM1508_466227,FAM1508,FAM1508,0.225557126,466227,1,high,low,LI-HII,less than 15000,3,1,4,1,182,49461,0.441056601,,,,,22,18,15,15,18,15,103,9,22,15,17,21,15,99,22,18,13,10,14,14,91,23,12,20,15,18,17,105,16,16,17,11,9,26,95
FAM6281_422160,FAM6281,FAM6281,0.225557126,422160,0,high,low,LI-HII,less than 15000,4,1,3,2,171,49461,0.441056601,,-1.122202909,1228.967635,120.0333073,12,14,14,16,18,11,85,23,13,15,18,19,13,101,21,9,17,15,18,17,97,15,18,17,17,14,17,98,17,14,14,17,14,17,93
FAM6281_315087,FAM6281,FAM6281,0.225557126,315087,1,high,low,LI-HII,less than 15000,4,1,3,2,194,49461,0.441056601,,-0.383939311,1407.723828,255.7215351,12,12,16,17,18,10,85,15,17,17,16,23,18,106,24,20,17,18,24,22,125,16,14,15,13,11,17,86,14,17,19,14,16,9,89
FAM4733_339503,FAM4733,FAM4733,0.225557126,339503,1,high,low,LI-HII,less than 15000,3,2,3,3,198,53032,0.441603883,,,,,14,20,20,14,24,14,106,20,23,17,22,22,22,126,17,21,17,19,10,15,99,14,8,16,10,14,17,79,16,15,20,19,19,9,98
FAM4733_472242,FAM4733,FAM4733,0.225557126,472242,1,high,low,LI-HII,less than 15000,3,3,3,3,164,53032,0.441603883,,-0.209536913,1389.828682,231.0723574,16,13,22,21,18,16,106,21,21,14,12,20,19,107,13,20,21,12,14,16,96,18,15,27,22,21,22,125,16,12,23,13,15,14,93
FAM8058_413899,FAM8058,FAM8058,0.225557126,413899,1,high,low,LI-HII,less than 15000,4,3,2,4,169,53032,0.441603883,,-0.524675101,1368.880051,239.7316221,15,13,17,18,18,10,91,25,23,21,16,23,28,136,11,4,20,16,9,18,78,18,22,24,19,19,22,124,22,19,20,20,21,12,114
